Characteristic,Gross domestic product in billion U.S. dollars
2026*,103.13
2025*,96.3
2024*,90.13
2023*,84.59
2022*,79.74
2021*,74.26
2020*,68.42
2019,67.0
2018,65.52
2017,58.98
2016,54.99
2015,48.6
2014,53.17
2013,63.28
2012,56.51
2011,53.65
2010,43.04
2009,34.25
2008,38.41
2007,33.94
2006,28.79
2005,24.52
2004,20.24
2003,17.49
2002,14.2
2001,12.23
2000,11.47
1999,17.76
1998,17.15
1997,15.79
1996,15.46
1995,14.54
1994,12.3
1993,13.38
1992,16.48
1991,16.67
1990,14.9
1989,12.9
1988,12.68
1987,11.93
1986,14.23
