Characteristic,GDP in billion U.S. dollars
2026*,2451.38
2025*,2400.01
2024*,2348.23
2023*,2295.73
2022*,2231.94
2021*,2106.29
2020,1884.94
2019,2005.14
2018,2093.09
2017,1961.11
2016,1876.55
2015,1836.82
2014,2162.57
2013,2141.96
2012,2088.28
2011,2294.59
2010,2137.84
2009,2197.54
2008,2408.39
2007,2213.36
2006,1949.66
2005,1859.24
2004,1805.72
2003,1577.23
2002,1275.87
2001,1168.03
2000,1147.18
1999,1253.69
1998,1271.7
1997,1243.23
1996,1312.78
1995,1175.28
1994,1086.54
1993,1053.43
1992,1310.02
1991,1234.54
1990,1168.72
1989,936.45
1988,900.39
1987,812.69
1986,647.51
