Characteristic,Consumer price index*
Mar 21,118.9
Feb 21,119.0
Jan 21,119.4
Dec 20,117.1
Nov 20,117.0
Oct 20,117.2
Sep 20,117.0
Aug 20,116.9
Jul 20,117.5
Jun 20,117.1
May 20,117.4
Apr 20,117.0
Mar 20,116.2
Feb 20,115.8
Jan 20,115.7
Dec 19,113.1
Nov 19,114.7
Oct 19,114.9
Sep 19,114.5
Aug 19,114.7
Jul 19,114.5
Jun 19,114.7
May 19,114.4
Apr 19,114.1
Mar 19,114.6
Feb 19,115.0
Jan 19,114.0
Dec 18,111.3
Nov 18,112.5
Oct 18,111.1
Sep 18,111.2
Aug 18,111.1
Jul 18,110.3
Jun 18,110.6
May 18,110.8
Apr 18,109.8
Mar 18,108.9
Feb 18,109.4
Jan 18,109.4
Dec 17,107.0
Nov 17,106.4
Oct 17,106.8
Sep 17,106.9
Aug 17,106.7
Jul 17,106.6
Jun 17,106.3
May 17,106.5
Apr 17,105.6
Mar 17,105.2
