Characteristic,Number of adherents
New York-Northern New Jersey-Long Island,10505858
Los Angeles-Long Beach-Santa Ana,6591695
Chicago-Joliet-Naperville,5408169
Dallas-Fort Worth-Arlington,3525880
Houston-Sugar Land-Baytown,3279316
Philadelphia-Camden-Wilmington,3261111
Atlanta-Sandy Springs-Marietta,2619742
Boston-Cambridge-Quincy,2584189
Washington-Arlington-Alexandria,2488324
Miami-Fort Lauderdale-Pompano Beach,2117809
Detroit-Warren-Livonia,1915407
Riverside-San Bernardino-Ontario,1786808
Minneapolis-St. Paul-Bloomington,1707511
San Francisco-Oakland-Fremont,1638625
Phoenix-Mesa-Glendale,1573094
St. Louis,1387266
Pittsburgh,1359459
San Diego-Carlsbad-San Marcos,1359377
Seattle-Tacoma-Bellevue,1226050
San Antonio-New Braunfels,1158957
