Characteristic,Number of cases per worker
Utah,165
Indiana,144
Iowa,132
Missouri,122
Massachusetts,120
New Mexico,117
New Hampshire,107
Oregon,102
Arizona,101
Louisiana,100
Kansas,99
Rhode Island,96
Illinois,89
West Virginia,87
Nevada,82
Washington,82
Vermont,77
Tennessee,74
Idaho,73
Nebraska,71
National average,71
Arkansas,69
Maine,69
Michigan,62
Hawaii,61
Alaska,60
Alabama,58
North Carolina,58
Minnesota,58
Oklahoma,57
Mississippi,56
Montana,54
Texas,52
South Dakota,52
Kentucky,49
Delaware,47
New Jersey,45
Connecticut,40
Puerto Rico,39
District of Columbia,39
