Characteristic,Number of translations
The Little Prince,253
Pinocchio,240
Pilgrim's Progress,200
Alice's Adventures in Wonderland,174
Andersen's Fairy Tales,159
Twenty Thousand Leagues Under the Sea,148
The Adventures of Asterix,114
The Adventures of Tintin,112
The Alchemist,80
Pippi Longstocking,70
Harry Potter,67
The Diary of a Young Girl,67
Nineteen Eighty-Four,65
The Adventures of Huckleberry Finn,65
My Name is Red,60
Sherlock Holmes,60
Sophie's World,60
The Very Hungry Caterpillar,60
The Good Soldier Švejk,58
Heidi,50
Winnie the Pooh,50
Things Fall Apart,50
Norwegian Wood,50
The Hobbit,50
Don Quixote,48
