Characteristic,Gross domestic product in billion U.S. dollars
2026*,242.34
2025*,230.54
2024*,219.24
2023*,207.01
2022*,194.14
2021*,176.54
2020,154.56
2019,163.46
2018,160.42
2017,142.96
2016,128.47
2015,124.53
2014,140.56
2013,135.41
2012,128.15
2011,141.11
2010,131.14
2009,130.76
2008,158.14
2007,139.97
2006,115.58
2005,112.98
2004,103.96
2003,85.3
2002,67.61
2001,53.75
2000,47.22
1999,49.07
1998,48.71
1997,47.3
1996,46.66
1995,46.43
1994,43.17
1993,40.13
1992,38.73
1991,34.75
1990,34.37
1989,30.32
1988,29.7
1987,27.14
1986,25.0
