Characteristic,Share of respondents
Clothes or shoes,52%
Food/drink,50%
Health and beauty,42%
Toys and games,31%
Books,30%
Jewellery,21%
Vouchers,20%
Music,18%
Movies,15%
Video/computer games,13%
Kitchen Accessories,11%
Tickets (experience day/events),10%
Wearables,10%
Headphones,7%
Sports equipment,5%
Tablet,5%
Smartphone,4%
Games Console,4%
Digital assistant,2%
Holiday/trip,2%
Laptop,2%
Wireless speaker system,2%
Virtual reality headset,1%
Smart home devices,1%
Digital camera,1%
eReader,1%
