Characteristic,Number of home runs
Barry Bonds,762
Hank Aaron,755
Babe Ruth,714
Alex Rodriguez,696
Albert Pujols,662
Willie Mays,660
Ken Griffey,630
Jim Thome,612
Sammy Sosa,609
Frank Robinson,586
Mark McGwire,583
Harmon Killebrew,573
Rafael Palmeiro,569
Reggie Jackson,563
Manny Ramirez,555
Mike Schmidt,548
David Ortiz,541
Mickey Mantle,536
Jimmie Foxx,534
Willie McCovey,521
Frank Thomas,521
Ted Williams,521
Ernie Banks,512
Eddie Mathews,512
Mel Ott,511
Gary Sheffield,509
Eddie Murray,504
Lou Gehrig,493
Fred McGriff,493
Miguel Cabrera,487
Adrian Beltre,477
