Characteristic,Number of units sold in thousands
Lover - Taylor Swift,1089.84
"When We All Fall Asleep, Where Do We Go? - Billie Eilish",594.6
Happiness Begins - Jonas Brothers,483.57
Fine Line - Harry Styles,452.5
"A Star Is Born: Origional Motion Picture Soundrack 2018 - Lady Gaga, Bradley Cooper",437.73
BTS Map of the Soul: Persona - BTS,383.24
Hollywood's Bleeding - Post Malone,356.99
Fear Inoculum - Tool,344.29
DNA - Backstreet Boys,313.62
"thank u, next - Ariana Grande",267.59
SuperM:The 1st Mini Album - Super M,246.23
The Greatest Showman: Original Motion Picture Soundtrack - Various Artists,230.39
Free Spirit - Khalid,222.72
Look Up Child - Lauren Daigle,221.2
Bohemian Rhapsody: Original Motion Picture Soundtrack 2018 - Queen,212.94
