Characteristic,Shoppes at The Venetian Macao,The Shoppes at Marina Bay Sands (Singapore),Shoppes at Four Seasons (Macao),Shoppes at Sands Cotai Central,Shoppes at Parisian (Macao),The Outlets at Sands Bethlehem (Pennsylvania),Shoppes at Londoner
2020,125.0,112,79.0,-,27,-,37
2019,253.0,185,151.0,70,53,-,70
2018,233.0,179,145.0,69,57,-,-
2017,220.0,167,131.0,63,66,4,-
2016,209.0,166,127.0,62,-,4,-
2015,204.62,163.47,130.22,61.91,-,4.09,-
2014,191.63,169.26,132.33,56.41,-,3.91,-
2013,169.15,153.84,113.12,42.12,-,3.17,-
2012,139.52,156.32,83.48,16.07,-,1.54,-
2011,121.19,137.77,65.97,-,-,0.19,-
2010,98.12,46.82,41.68,-,-,-,-
2009,100.73,-,36.57,-,-,-,-
