Characteristic,Number of refugees
Syrian Arab Rep.,6616983
Afghanistan,2728853
South Sudan,2234814
Myanmar,1078268
Somalia,905109
Dem. Rep. of the Congo,807374
Sudan,734947
Central African Rep.,610203
Eritrea,505118
Burundi,381508
Iraq,344460
Viet Nam,316441
Nigeria,295569
Rwanda,246698
China,212863
Colombia,189448
Unknown,183429
Mali,164461
Pakistan,137190
Iran (Islamic Rep. of),129676
Western Sahara,116909
Sri Lanka,110348
Palestinian,96318
Ethiopia,95685
Venezuela (Bolivarian Republic of) *,93280
