Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",24.54
Government and government enterprises,13.19
Manufacturing,12.06
Professional and business services,11.09
"Educational services, health care, and social assistance",9.31
"Agriculture, forestry, fishing, and hunting",10.57
Transportation and warehousing,7.11
Wholesale trade,6.9
Retail trade,6.23
Information,4.45
"Arts, entertainment, recreation, accommodation, and food services",2.27
Utilities,2.58
Construction,2.75
"Mining, quarrying, and oil and gas extraction",0.24
