Characteristic,Index value
Jan 21,236.31
Dec 20,234.45
Nov 20,232.46
Oct 20,229.93
Sep 20,226.89
Aug 20,224.14
Jul 20,221.66
Jun 20,219.9
May 20,218.56
Apr 20,217.31
Mar 20,215.24
Feb 20,213.28
Jan 20,212.48
Dec 19,212.38
Nov 19,212.3
Oct 19,212.18
Sep 19,212.1
Aug 19,212.06
Jul 19,211.63
Jun 19,210.87
May 19,209.65
Apr 19,207.96
Mar 19,206.06
Feb 19,204.72
Jan 19,204.46
Dec 18,204.94
Nov 18,205.34
Oct 18,205.59
Sep 18,205.6
Aug 18,205.55
Jul 18,205.18
Jun 18,204.27
May 18,202.66
Apr 18,200.8
Mar 18,198.76
Feb 18,197.08
Jan 18,196.29
Dec 17,196.02
Nov 17,195.61
Oct 17,195.24
Sep 17,194.97
Aug 17,194.5
Jul 17,193.66
Jun 17,192.4
May 17,190.65
Apr 17,188.65
Mar 17,186.64
Feb 17,185.14
