Characteristic,Inflation rate compared to previous year
2026*,4.5%
2025*,4.5%
2024*,4.5%
2023*,4.5%
2022*,4.47%
2021*,4.28%
2020,3.27%
2019,4.13%
2018,4.62%
2017,5.27%
2016,6.34%
2015,4.58%
2014,6.09%
2013,5.76%
2012,5.62%
2011,4.99%
2010,4.26%
2009,7.12%
2008,10.99%
2007,7.15%
2006,4.62%
2005,3.35%
2004,1.43%
2003,5.87%
2002,9.15%
2001,5.64%
2000,5.39%
1999,5.08%
1998,6.98%
1997,8.63%
1996,7.35%
1995,8.75%
1994,8.84%
1993,9.66%
1992,14.06%
1991,15.21%
1990,14.21%
1989,14.76%
1988,12.94%
1987,16.23%
1986,18.41%
