Characteristic,China,U.S. (excluding light trucks*),Japan,Germany,India
2020,20.18,3.4,3.81,2.92,2.43
2019,21.47,4.72,4.3,3.61,2.96
2018,23.71,5.3,4.39,3.44,3.39
2017,24.72,6.08,4.39,3.44,3.23
2016,24.38,6.87,4.15,3.35,2.97
2015,21.21,7.52,4.22,3.21,2.77
2014,19.71,7.69,4.7,3.04,2.57
2013,17.93,7.59,4.56,2.95,2.55
2012,15.5,7.24,4.57,3.08,2.78
2011,14.47,6.09,3.51,3.17,2.51
2010,13.76,5.64,4.2,2.92,2.39
2009,10.33,5.4,3.91,3.81,1.82
2008,6.76,6.77,4.18,3.09,1.55
2007,6.3,7.56,4.33,3.15,1.51
2006,5.18,7.76,4.61,3.47,1.31
2005,3.97,7.66,4.75,3.32,1.11
