Characteristic,Venue construction costs in million U.S. dollars
"American Airlines Center, 2001",420.0
"Prudential Center, 2007",375.0
"Staples Center, 1999",375.0
"CONSOL Energy Center, 2010",321.0
"Le Centre Bell, 1996",270.0
"Verizon Center, 1997",260.0
"Air Canada Centre, 1999",250.0
"Madison Square Garden, 1991",220.0
Jobing.com Arena,220.0
"Philips Arena, 1999",213.0
"Wachovia Center, 1996",210.0
"BankAtlantic Center, 1998",185.0
"Pepsi Center, 1999",180.0
"United Center, 1994",175.0
"Scotiabank Place, 1996",170.0
"hp Pavilion, 1993",162.5
"TD Banknorth Garden, 1995",160.0
"RBC Center, 1999",158.0
"Nationwide Arena, 2000",150.0
"General Motors Place, 1995",144.5
"St. Pete Times Forum, 1996",139.0
"Scottrade Center, 1994",135.0
"Xcel Energy Center, 2000",130.0
"Sommet Center, 1996",130.0
"HSBC Arena, 1996",127.5
"Honda Center, 1993",123.0
