Characteristic,Penetration rate among Android mobile device users
Candy Crush Saga,22.22%
Subway Surfers,18.33%
Candy Crush Soda Saga,11.67%
Temple Run 2,11.11%
Pou,9.44%
Pet Rescue Saga,7.22%
Despicable Me,6.11%
Temple Run,6.11%
Farm Heroes Saga,5.56%
My Talking Tom,5%
Solitaire,5%
Bubble Shooter,4.44%
Fast Racing 3D,4.44%
Hill Climb Racing,3.89%
Angry Birds,3.33%
Angry Birds Star Wars,3.33%
Hay Day,3.33%
Hungry Shark Evolution,3.33%
Trivia Crack,3.33%
Angry Birds Rio,2.78%
