Characteristic,Mexico,Canada
2019,100.89,402.26
2018,95.87,368.5
2017,100.17,371.27
2016,98.42,355.39
2015,101.33,361.95
2014,94.48,370.22
2013,86.43,370.26
2012,104.39,366.71
2011,85.6,330.04
2010,85.75,295.21
2009,84.05,274.81
2008,87.44,246.48
2007,91.05,250.64
2006,82.97,205.13
2005,73.69,231.84
2004,63.38,214.93
2003,56.85,187.95
2002,56.3,166.47
2001,52.54,152.6
2000,39.35,132.47
1999,37.15,119.59
1998,26.66,98.2
1997,24.05,96.63
1996,19.35,89.59
1995,16.87,83.5
1994,16.97,74.22
