Characteristic,Gross domestic product in billion U.S. dollars
2026*,31.56
2025*,30.6
2024*,29.63
2023*,28.58
2022*,27.47
2021*,26.28
2020*,24.61
2019,27.02
2018,26.12
2017,24.98
2016,24.19
2015,23.44
2014,22.59
2013,21.99
2012,21.39
2011,20.28
2010,18.45
2009,17.6
2008,17.99
2007,17.01
2006,16.0
2005,14.7
2004,13.73
2003,13.24
2002,12.66
2001,12.28
2000,11.79
1999,11.28
1998,10.94
1997,10.22
1996,9.59
1995,8.92
1994,7.68
1993,6.68
1992,5.81
1991,5.25
1990,4.82
1989,3.17
1988,2.77
1987,2.37
1986,2.34
