Characteristic,Sales in million U.S. dollars
Anheuser-Busch InBev,46881
Nestlé SA,43476
The Coca-Cola Co.,33014
PepsiCo Inc.,32567
Heineken N.V.,23663
Suntory Holdings Ltd.,21670
Starbucks Corp.,17873
Diageo PLC,16411
Keurig Dr Pepper,11618
Molson Coors Brewing Co.,9654
Unilever Group§,9566
Constellation Brands Inc.,9356
Pernod Ricard,8450
E. & J. Gallo Winery*,8344
Jacobs Douwe Egberts*,7890
Red Bull GmbH*,7663
Abbott§§§,7647
Bacardi Ltd.*,6265
LVMH Louis Vuitton Moet Hennessy,5733
The Wonderful Co.*+,5000
Glanbia PLC^^,4614
Campbell Soup Co.§§,4606
Monster Beverage Corp.,4600
Danone Group^,4346
Brown-Forman Corp.,4306
Ito En Group,3104
AriZona Beverage Co.*,3000
J. M. Smucker Co.,2601
Niagara Bottling LLC*,2410
Mark Anthony Group Inc.++*,2271
Davide Campari,2136
C&C Group plc,2065
Treasury Wine Estates,2041
Lassonde Industries Inc.*,1981
Britvic PLC,1962
