Characteristic,GDP per capita in U.S. dollars
2026*,888.47
2025*,853.6
2024*,816.61
2023*,777.63
2022*,710.33
2021*,632.63
2020*,565.87
2019*,553.91
2018*,572.56
2017*,517.77
2016*,497.88
2015*,484.22
2014*,564.74
2013*,552.58
2012*,530.08
2011*,512.5
2010 *,477.26
2009,463.55
2008,478.45
2007,390.33
2006,336.3
2005,321.9
2004,286.36
2003,268.28
2002,228.08
2001,208.38
2000,197.92
1999,232.42
1998,251.0
1997,225.28
1996,244.86
1995,242.79
1994,211.73
1993,344.5
1992,395.4
1991,396.73
1990,438.03
1989,397.17
1988,428.66
1987,433.05
1986,381.04
