Characteristic,Inflation rate compared to previous year
2026*,2%
2025*,2%
2024*,2%
2023*,2%
2022*,2.04%
2021*,2.41%
2020,-1.75%
2019,0.54%
2018,2.39%
2017,0.11%
2016,-3.08%
2015,-0.98%
2014,3.52%
2013,1.47%
2012,4.18%
2011,2.77%
2010,3.25%
2009,-0.16%
2008,5.55%
2007,2.82%
2006,3.56%
2005,3.91%
2004,1.46%
2003,1.03%
2002,-0.26%
2001,5.27%
2000,4.85%
1999,2.42%
1998,3.2%
1997,-0.01%
1996,0.93%
1995,5.86%
1994,2.66%
1993,0.78%
1992,5.66%
1991,5.54%
1990,4.33%
1989,4.4%
1988,0.83%
1987,7.04%
1986,2.17%
