Characteristic,"Prevalence per 1,000 inhabitants"
Finland,4.57
Sweden,2.59
Norway,2.04
Ireland,1.75
United Kingdom,1.72
Canada,1.6
Denmark,1.56
Iceland,1.5
Germany,1.47
Estonia,1.43
Australia,1.41
Netherlands,1.39
United States,1.38
Israel,1.26
Hungary,1.26
Spain,1.25
Czech Rep.,1.24
OECD35,1.23
Austria,1.22
Russian Fed.,1.14
Poland,1.11
New Zealand,1.09
Luxembourg,1.06
Belgium,1.0
Slovenia,0.98
Brazil,0.98
Portugal,0.95
Lithuania,0.94
Switzerland,0.89
France,0.86
Slovak Rep.,0.84
Greece,0.83
Italy,0.82
Chile,0.57
Turkey,0.5
Mexico,0.41
Latvia,0.33
India,0.28
China,0.19
Japan,0.16
Colombia,0.12
Korea,0.06
