Country,"Depression prevalence by level of education & employment, Poland, 2014"
Below upper secondary (total),6.3
Upper secondary & post-secondary non-tertiary (total),4.2
All levels (total),4.1
Below upper secondary (active),3.4
Upper secondary & post-secondary non-tertiary (active),3.1
All levels (active),2.9
Below upper secondary (employed),2.9
Tertiary (total),2.9
Upper secondary & post-secondary non-tertiary (employed),2.7
All levels (employed),2.5
Tertiary (active),2.4
Tertiary (employed),2.2
