Characteristic,Beginning of epidemic,Last 14 days
Geneva,12515.1,77.8
Valais,11018.6,63.7
Vaud,10575.7,72.3
Fribourg,10070.8,94.5
Neuchâtel,9980.4,68.6
Jura,9942.4,164.4
Ticino,9405.6,32.7
Uri,8808.5,51.8
St. Gallen,8348.2,116.3
Appenzell Innerrhoden,7638.9,359.6
Schwyz,7620.3,152.0
Zürich,7356.3,54.1
Appenzell Ausserrhoden,7005.1,72.1
Lucerne,6979.8,84.7
Aargau,6928.2,46.1
Glarus,6873.6,93.6
Basel-Stadt,6866.2,64.8
Graubünden,6793.3,65.8
Thurgau,6574.9,59.0
Zug,6558.2,54.8
Solothurn,6505.4,37.1
Obwalden,6461.9,218.8
Bern,6302.6,49.0
Basel-Landschaft,6275.0,43.5
Nidwalden,6247.8,104.4
Schaffhausen,5920.0,78.9
