Characteristic,Gross domestic product in billion international dollars
2026*,82.94
2025*,77.44
2024*,72.31
2023*,67.51
2022*,63.04
2021*,59.38
2020*,52.94
2019,66.79
2018,64.93
2017,62.2
2016,57.91
2015,54.09
2014,49.92
2013,45.6
2012,40.43
2011,34.69
2010,29.44
2009,27.12
2008,25.16
2007,21.3
2006,18.44
2005,16.64
2004,15.26
2003,13.92
2002,13.2
2001,12.7
2000,12.5
1999,12.33
1998,11.76
1997,10.85
1996,10.04
1995,8.52
1994,8.33
1993,7.81
1992,7.15
1991,6.29
1990,5.72
1989,5.26
1988,5.25
1987,6.07
1986,6.05
