Characteristic,Production costs,Global box office revenue
Star Wars: The Force Awakens,245.0,2068.22
Star Wars: The Last Jedi*,317.0,1332.54
Star Wars: Episode IX - The Rise of Skywalker,275.0,1074.14
Rogue One: A Star Wars Story,200.0,1056.06
Star Wars Episode I: The Phantom Menace,115.0,1027.04
Star Wars Episode III: Revenge of the Sith,113.0,848.75
Star Wars Episode IV: A New Hope,11.0,775.4
Star Wars Episode II: Attack of the Clones,115.0,649.4
Star Wars Episode V: The Empire Strikes Back,18.0,538.38
Star Wars Episode VI: Return of the Jedi,32.5,475.11
Solo: A Star Wars Story*,275.0,392.92
