Characteristic,Production in million metric tons
Bananas,116.78
Watermelons,100.41
Apples,87.24
Oranges,78.7
Grapes,77.14
"Mangoes, mangosteens, guavas",55.85
Plantains and others,41.58
Apricots,40.84
"Fruit, fresh nes",39.51
"Tangerines, mandarins, clementines, satsumas",35.44
Pineapples,28.18
"Melons, other (inc.cantaloupes)",27.5
Peaches and nectarines,25.74
"Fruit, tropical fresh nes",25.33
Pears,23.92
Lemons and limes,20.05
"Fruit, citrus nes",13.9
Papayas,13.74
Plums and sloes,12.6
Grapefruit (inc. pomelos),9.29
Dates,9.07
Strawberries,8.89
Avocados,7.18
Kiwi fruit,4.35
Persimmons,4.27
Cherries,2.6
"Cherries, sour",1.41
Cashewapple,1.32
Figs,1.32
Berries nes,0.92
Raspberries,0.82
Cranberries,0.69
