Characteristic,Gross domestic product in billion U.S. dollars
2026*,2.05
2025*,1.72
2024*,1.41
2023*,1.2
2022*,1.01
2021*,0.95
2020*,1.13
2019,1.58
2018,1.54
2017,1.53
2016,1.43
2015,1.38
2014,1.34
2013,1.33
2012,1.06
2011,1.02
2010,0.97
2009,0.85
2008,0.97
2007,1.03
2006,1.02
2005,0.92
2004,0.84
2003,0.71
2002,0.7
2001,0.62
2000,0.62
1999,0.62
1998,0.61
1997,0.56
1996,0.5
1995,0.51
1994,0.49
1993,0.47
1992,0.43
1991,0.37
1990,0.37
1989,0.31
1988,0.28
1987,0.25
1986,0.21
