Characteristic,Net premiums in billion U.S. dollars
UnitedHealth Group*(United States),189.7
Ping An Insurance (Group) Co of China,110.75
Axa (France),101.14
China Life Insurance (Group),97.74
Kaiser FoundationGroup of Health Plans** (United States),97.25
"Anthem, Inc. (United States)",94.73
Allianz (Germany),86.66
People's Insurance Co (Group) of China,74.42
Generali (Italy),74.24
Centene Corporation*(United States),71.71
State Farm Group**(United States),70.64
Humana Inc,62.95
Berkshire Hathaway Inc(United States),62.81
Munich Re (Germany),54.66
Nippon Life Insurance Company(Japan),52.11
