Characteristic,Number of tests
Russia*,32968759
United Kingdom,16273209
Germany**,11208091
Italy,8313445
Spain*,7955615
Turkey,6727860
France*,5689576
Poland*,2436012
Denmark,2321685
Belgium,2189246
Portugal,1958651
Romania,1591015
Austria,1133243
Switzerland,975563
Greece*,858138
Ireland,802572
Sweden*,783467
Norway,669717
Lithuania,623841
Finland,605900
Netherlands*,411972
Hungary,405067
Bulgaria,384450
Slovakia,323580
Latvia,244827
Iceland,208384
Malta,182245
Croatia,160236
Slovenia,154801
Estonia,144868
