Characteristic,Square footage take-up
Apr '21,101850
Mar '21,369260
Feb '21,154077
Jan '21,41195
Dec '20,205780
Nov '20,77132
Oct '20,57368
Sep '20,174851
Aug '20,147578
Jul '20,63890
Jun '20,187678
May '20,108913
Apr '20,41723
Mar '20,160932
Feb '20,223704
Jan '20,277588
Dec '19,654769
Nov '19,293023
Oct '19,478534
Sep '19,319776
Aug '19,151140
Jul '19,462193
Jun '19,223455
May '19,312301
Apr '19,300856
Mar '19,420802
Feb '19,585354
Jan '19,235461
Dec '18,457935
Nov '18,349030
Oct '18,477941
Sep '18,148833
Aug '18,283074
Jul '18,1192648
Jun '18,525288
May '18,295141
Apr '18,289756
Mar '18,444038
Feb '18,290660
Jan '18,353624
