Characteristic,Population in thousands
2021**,146238.2
2020,146745.1
2019,146780.7
2018,146880.4
2017,146804.4
2016,146544.7
2015,146267.3
2014,143666.9
2013,143347.1
2012,143056.4
2011,142865.4
2010**,142856.5
2009,142737.2
2008,142747.5
2007,142862.7
2006,143236.6
2005,143801.0
2004,144333.6
2003,144963.6
2002**,145166.7
2002,145649.3
2001,146303.6
2000,146890.1
1999,147539.4
1998,147802.1
1997,148028.6
1996,148291.6
1995,148459.9
1990,147665.1
1989**,147021.9
1985,142539.0
1980,138126.6
1979**,137409.9
1975,133633.9
1970**,129941.2
1965,126309.1
1960,119045.8
1959**,117534.3
