Year (Contingent),Number of duty officers,Staff
2014 (FS27),33,48
2013–2014 (FS26),572,300
2013 (FS25),548,350
2012–2013 (FS24),693,462
2012 (FS23),637,576
2011–2012 (FS22),590,579
2011 (FS21),662,579
2010–2011 (FS20),729,547
2010 (FS19),770,521
2009–2010 (FS18),644,494
2009 (FS17),629,407
2008–2009 (FS16),441,367
2008 (FS15),479,372
2007–2008 (FS14),428,413
2007 (FS13),315,411
2006–2007 (FS12),290,331
2006 (FS11),258,231
2005–2006 (FS10),168,209
2005 (FS09),85,106
2004-2005 (FS08),109,109
2004 (FS07),90,77
2003-2004 (FS06),42,34
2003 (FS05),30,29
2002-2003 (FS04),31,30
2002 (FS03),29,32
2002 (FB2),24,-
2002 (FB1),24,-
