Characteristic,Expected Wi-Fi speed in Mbps*
Plaza Hotel & Casino,38.7
The LINQ Hotel & Casino,29.3
SLS Las Vegas Hotel & Casino,24.7
Grandview at Las Vegas,24.3
Tahiti Village,23.8
Four Seasons Hotel Las Vegas,22.1
Golden Nugget Hotel,16.1
Treasure Island - TI Hotel & Casino,15.6
Wynn Las Vegas,11.5
Luxor Las Vegas,11.2
Trump International Hotel Las Vegas,9.6
The Carriage House,9.3
Encore At Wynn Las Vegas,8.0
ARIA Resort & Casino,8.0
Hilton Grand Vacations Suites on the Las Vegas Strip,8.0
