Characteristic,Imports in billion U.S. dollars
Q2 '20,609.55
Q1 '20,732.03
Q4 '19,762.23
Q3 '19,779.85
Q2 '19,783.61
Q1 '19,779.45
Q4 '18,793.18
Q3 '18,787.03
Q2 '18,769.91
Q1 '18,769.2
Q4 '17,753.4
Q3 '17,720.77
Q2 '17,716.79
Q1 '17,710.22
Q4 '16,695.41
Q3 '16,685.26
Q2 '16,672.37
Q1 '16,666.06
Q4 '15,679.86
Q3 '15,694.12
Q2 '15,697.18
Q1 '15,699.85
Q4 '14,722.32
Q3 '14,720.03
Q2 '14,723.16
Q1 '14,710.9
Q4 '13,694.04
Q3 '13,690.0
Q2 '13,688.0
Q1 '13,688.04
Q4 '12,689.96
Q3 '12,688.13
Q2 '12,696.6
Q1 '12,698.68
Q4 '11,688.33
Q3 '11,682.43
Q2 '11,674.88
Q1 '11,652.43
Q4 '10,619.47
Q3 '10,604.72
Q2 '10,588.05
Q1 '10,563.17
