Industry,Value added in billion U.S. dollars
"Finance, insurance, real estate, rental, and leasing",4660.5
Professional and business services,2673.6
Government,2645.7
Manufacturing,2269.19
"Educational services, health care, and social assistance",1807.55
Wholesale trade,1217.73
Retail trade,1200.89
Information,1161.44
"Arts, entertainment, recreation, accommodation, and food services",679.73
Construction,897.57
Transportation and warehousing,595.87
"Other services, except government",421.92
Utilities,336.88
Mining,192.46
"Agriculture, forestry, fishing, and hunting",175.8
