Characteristic,Gross domestic product in billion U.S. dollars
2026*,1494.68
2025*,1430.84
2024*,1368.87
2023*,1307.81
2022*,1251.09
2021*,1192.48
2020,1076.16
2019,1268.87
2018,1222.35
2017,1158.91
2016,1078.49
2015,1171.87
2014,1315.36
2013,1274.44
2012,1201.09
2011,1180.49
2010,1057.8
2009,900.05
2008,1109.99
2007,1052.7
2006,975.38
2005,877.48
2004,782.24
2003,729.34
2002,772.11
2001,756.69
2000,707.91
1999,600.23
1998,526.52
1997,500.42
1996,410.97
1995,360.1
1994,527.81
1993,500.8
1992,403.73
1991,348.14
1990,290.4
1989,246.08
1988,201.93
1987,165.06
1986,150.51
