Characteristic,Percentage change in sales value
Heinz Classic,-11.4
New Covent Garden,8.7
Batchelors Cup a Soup,-3.9
Heinz Big Soup,-8.8
Baxters favourites,-2.1
Glorious!,2.2
Mug Shot Pasta snack,28.2
Mug Shot Noodle Snack,15.8
WeightWatchers,-17.3
Baxters Vegetarian,-6.2
Yorkshire Soup,29.3
Ainsley Harriott Cup Soup,-25.4
Campbell's,-15.8
Heinz Farmers' Market,-17.7
Knorr,-17.1
Heinz Black Label,1308.6
Baxters Luxury,-7.2
Baxters Healthy,-14.0
Crosse & Blackwell,-54.8
Heinz Squeeze & Stir,-42.1
