Characteristic,GDP per capita in U.S. dollars
Bahamas,32933.5
Puerto Rico,32873.7
St. Kitts and Nevis,19896.5
Barbados,18148.2
Antigua and Barbuda,17790.3
Trinidad and Tobago,17276.5
Uruguay,16190.1
Panama,15731.0
Chile,14896.5
Costa Rica,12238.4
St. Lucia,11611.4
Grenada,10965.5
Argentina,10006.1
Mexico,9863.1
Regional average,8847.4
Brazil,8717.2
Dominica,8300.4
Dominican Republic,8282.1
St. Vincent and the Grenadines,7463.5
Peru,6977.7
Suriname,6854.9
Colombia,6432.4
Ecuador,6183.8
Jamaica,5582.3
Guyana,5468.4
Paraguay,5414.8
Belize,4815.2
Guatemala,4620.0
El Salvador,4187.3
Bolivia,3552.1
Honduras,2574.9
Nicaragua,1912.9
Haiti,754.6
