Year,Men,Women
Rio 2016,19.78,21.78
London 2012,19.32,21.88
Beijing 2008,19.3,21.74
Athens 2004,19.79,22.06
Sydney 2000,20.09,22.27
Atlanta 1996,19.32,22.12
Barcelona 1992,20.01,21.81
Seoul 1988,19.75,21.34
Los Angeles 1984,19.8,21.81
Moscow 1980,20.19,22.03
Montreal 1976,20.23,22.37
Munich 1972,20.0,22.4
Mexico City 1968,19.8,22.5
Tokyo 1964,20.3,23
Rome 1960,20.5,24
Melbourne 1956,20.6,23.4
Helsinki 1952,20.7,23.7
London 1948,21.1,24.4
Berlin 1936,20.7,-
Los Angeles 1932,21.2,-
Amsterdam 1928,21.8,-
Paris 1924,21.6,-
Antwerp 1920,22.0,-
Stockholm 1912,21.7,-
London 1908,22.6,-
St. Louis 1904,21.6,-
Paris 1900,22.2,-
