Characteristic,Percent change from preceding period
Q1 '21,6.4%
Q4 '20,4.3%
Q3 '20,33.4%
Q2 '20,-31.4%
Q1 '20,-5%
Q4 '19,2.4%
Q3 '19,2.6%
Q2 '19,1.5%
Q1 '19,2.9%
Q4 '18,1.3%
Q3 '18,2.1%
Q2 '18,2.7%
Q1 '18,3.8%
Q4 '17,3.5%
Q3 '17,3.2%
Q2 '17,2.2%
Q1 '17,2.3%
Q4 '16,2%
Q3 '16,2.2%
Q2 '16,1.9%
Q1 '16,2%
Q4 '15,0.1%
Q3 '15,1.3%
Q2 '15,3%
Q1 '15,3.2%
Q4 '14,2.3%
Q3 '14,5%
Q2 '14,5.5%
Q1 '14,-1.1%
Q4 '13,3.2%
Q3 '13,3.2%
Q2 '13,0.5%
Q1 '13,3.6%
Q4 '12,0.5%
Q3 '12,0.5%
Q2 '12,1.7%
Q1 '12,3.2%
Q4 '11,4.7%
Q3 '11,-0.1%
Q2 '11,2.9%
Q1 '11,-1%
