Characteristic,"Incidents per 100,000 population"
Merseyside,27.0
"Durham, Darlington and Tees",24.9
Thames Valley,23.9
West Yorkshire,22.9
"Cumbria, Northumberland, Tyne and Wear",21.7
South Yorkshire and Bassetlaw,17.1
Greater Manchester,16.0
Lancashire,15.7
North Yorkshire and Humber,15.0
"Cheshire, Warrington and Wirral",13.2
Essex,13.2
"Bristol, North Somerset, Somerset and South Gloucestershire",13.0
Birmingham and the Black Country,12.9
"Devon, Cornwall and Isles of Scilly",12.3
"Bath, Gloucestershire, Swindon and Wiltshire",11.9
"Arden, Herefordshire and Worcestershire",11.3
Derbyshire and Nottinghamshire,11.2
Hertfordshire and the South Midlands,10.3
East Anglia,10.2
Shropshire and Staffordshire,10.2
Wessex,10.1
Leicestershire and Lincolnshire,9.3
Surrey and Sussex,8.3
London,8.2
Kent and Medway,7.3
