Characteristic,Amount contributed in U.S. dollars
Alphabet Inc,394699
University of California,335524
Microsoft Corp,180066
US Postal Service,154968
Apple Inc,152960
US Dept of Veterans Affairs,125639
US Navy,120782
Kaiser Permanente,119204
Amazon.com,117848
IBM Corp,113125
Boeing Co,105550
US Army,103029
State of California,96850
US Air Force,96321
AT&T Inc,96050
Intel Corp,91333
US Government,89999
University of Washington,84014
Harvard University,81484
US Dept of Defense,77822
