Characteristic,Number of stores
Total,219
Texas,37
Ohio,13
Georgia,12
Florida,9
Michigan,9
Pennsylvania,9
Tennessee,9
Indiana,8
Virginia,8
Arizona,8
Illinois,7
New York,6
Missouri,6
Wisconsin,5
North Carolina,5
Utah,5
Alabama,5
Louisiana,4
Kentucky,4
Colorado,4
Maryland,4
New Jersey,4
Oklahoma,3
Mississippi,3
Iowa,3
California,4
Washington,5
Massachesetts,2
Kansas,2
Minnesota,2
Arkansas,2
South Carolina,2
Nebraska,2
Rhode Island,1
South Dakota,2
Nevada,1
Connecticut,1
Idaho,1
New Mexico,1
