Characteristic,Deal value in million euros
"SIG Combibloc Group bought by Onex Corporation (Switzerland, Manufacturing)",3750
"Nordic Aviation Capital/ NAC bought by EQT Partners AB, Kirkbi Invest A/S (Denmark, Aerospace)",3000
"Verallia bought by Apollo Global Management LLC, BPI France SA (France, Manufacturing)",2945
"Douglas Holding bought by CVC Capital Partners Limited (Germany, Retail and consumer products)",2800
"New Look bought by Brait Private Equity (UK, Retail and consumer products)",2613
"Securitas Direct Verisure Group bought by Hellman & Friedman LLC (Sweden, Industrial products and services)",2500
"Orange Communicatons bought by NJJ Capital (Switzerland, Telecommunications)",2327
"Constantia Packaging bought by Wendel SA (Austria, Manufacturing)",2300
"ICBPI bought by Bain Capital, Advent International, Clessidra SGR SpA (Italy, Financial services)",2150
"Sivantos/ Siemens Audiology Solutions bought by EQT Partners AB (Germany, Health care)",2150
