Characteristic,Number of people per household
Tibet,4.13
Hainan,3.62
Gansu,3.35
Jiangxi,3.32
Xinjiang,3.31
Henan,3.31
Yunnan,3.28
Guangxi,3.28
Guizhou,3.17
Hunan,3.15
Qinghai,3.1
Hebei,3.1
Ningxia,3.07
Shaanxi,2.98
Jiangsu,2.97
Shanxi,2.95
Hubei,2.94
National average,2.92
Anhui,2.92
Guangdong,2.89
Fujian,2.84
Chongqing,2.82
Sichuan,2.75
Shandong,2.74
Tianjin,2.65
Jilin,2.6
Inner Mongolia,2.58
Beijing,2.56
Zhejiang,2.55
Liaoning,2.54
Heilongjiang,2.47
Shanghai,2.38
