Characteristic,GDP per capita in U.S. dollars
2026*,155475.12
2025*,151683.8
2024*,148001.91
2023*,143915.92
2022*,139125.62
2021*,131781.72
2020,116921.11
2019,115838.77
2018,117859.72
2017,108621.75
2016,105364.03
2015,102624.93
2014,120449.74
2013,114996.72
2012,108050.47
2011,117366.01
2010,106177.04
2009,104393.46
2008,115898.45
2007,107014.12
2006,90499.21
2005,81048.61
2004,76343.55
2003,66061.09
2002,53399.67
2001,48498.98
2000,49183.0
1999,49541.5
1998,45821.79
1997,44381.98
1996,49920.67
1995,50910.9
1994,43482.67
1993,39643.32
1992,39219.57
1991,35489.96
1990,33201.11
1989,26333.36
1988,24976.46
1987,22239.42
1986,18022.86
