Characteristic,Facebook fans in millions
NHL - league account,4.64
Chicago Blackhawks,2.76
Boston Bruins,2.16
Pittsburgh Penguins,2.0
Detroit Red Wings,1.96
Montreal Canadiens,1.62
New York Rangers,1.49
Toronto Maple Leafs,1.35
Philadelphia Flyers,1.15
Vancouver Canucks,1.01
Los Angeles Kings,0.93
San Jose Sharks,0.92
Washington Capitals,0.79
St. Louis Blues,0.76
Colorado Avalanche,0.75
Minnesota Wild,0.64
Edmonton Oilers,0.58
Tampa Bay Lightning,0.57
Buffalo Sabres,0.5
Dallas Stars,0.49
New Jersey Devils,0.47
Anaheim Ducks,0.41
Nashville Predators,0.4
Winnipeg Jets,0.39
Calgary Flames,0.38
Ottawa Senators,0.33
Columbus Blue Jackets,0.32
New York Islanders,0.3
Arizona Coyotes,0.3
Carolina Hurricanes,0.29
Florida Panthers,0.2
