Characteristic,Value in billion U.S. dollars
"Banking, Insurance & Financial Services",721.32
"Chemicals, Petroleum, Rubber & Plastic",559.21
Computer Software,552.26
Business Services,280.52
"Industrial, Electric & Electronic Machinery",267.21
Mining & Extraction,264.88
"Transport, Freight & Storage",198.21
Construction,194.61
Property Services,172.42
Biotechnology and Life Sciences,171.83
Utilities,163.21
"Travel, Personal & Leisure",127.35
Communications,126.3
Retail,123.49
Media & Broadcasting,109.9
Transport Manufacturing,107.32
Food & Tobacco Manufacturing,88.76
Wholesale,83.02
"Public Administration, Education, Health Social Services",74.52
Metals & Metal Products,73.85
