Characteristic,Market capitalization in million euros
Mar 2021,20273.44
Feb 2021,19109.91
Jan 2021,16972.32
Dec 2020,17191.0
Nov 2020,19495.8
Oct 2020,14179.21
Sep 2020,15803.64
Aug 2020,18761.42
Jul 2020,17532.36
Jun 2020,18288.99
May 2020,17161.31
Apr 2020,15962.26
Mar 2020,16072.68
Feb 2020,25694.65
Jan 2020,27147.84
Dec 2019,29179.65
Nov 2019,28098.4
Oct 2019,25308.35
Sep 2019,24228.42
Aug 2019,22645.35
Jul 2019,23841.14
Jun 2019,24169.42
May 2019,22515.69
Apr 2019,27552.38
Mar 2019,25372.39
Feb 2019,26565.36
Jan 2019,22635.07
Dec 2018,21924.0
Nov 2018,25488.19
Oct 2018,25342.82
Sep 2018,28900.6
Aug 2018,27848.52
Jul 2018,33909.74
Jun 2018,31998.52
May 2018,31885.24
Apr 2018,40021.99
Mar 2018,37794.17
Feb 2018,38954.43
Jan 2018,39462.46
Dec 2017,34955.17
Nov 2017,38053.89
Oct 2017,36863.22
Sep 2017,40103.99
Aug 2017,38058.42
Jul 2017,37020.3
