Characteristic,Gross domestic product in billion U.S. dollars
2026*,118.05
2025*,113.91
2024*,110.13
2023*,106.81
2022*,103.87
2021*,100.6
2020*,96.67
2019,108.11
2018,107.56
2017,104.3
2016,99.94
2015,99.29
2014,101.73
2013,95.13
2012,87.93
2011,79.28
2010,69.56
2009,62.52
2008,61.76
2007,51.01
2006,46.8
2005,41.51
2004,36.59
2003,32.43
2002,28.55
2001,24.47
2000,18.32
1999,19.74
1998,27.47
1997,27.01
1996,24.04
1995,22.97
1994,21.15
1993,17.54
1992,15.01
1991,13.73
1990,12.24
1989,12.05
1988,12.28
1987,12.91
1986,13.82
