"Date, Location",Number of people affected
"Jun 9 - Jun 30, 2008, Illinois, Iowa, Kansas",11000148
"Aug 9 - Aug 16, 2016, Louisiana, Mississippi, Missouri,Illinois, Indiana",330000
"Jan 15 - Jan 21, 1996, Nevada, Arizona, New Mexico",200000
"Jun 30 - Jul 23, 2002, New Braunfels, Bandera",144000
"Jan 1 - Feb 07, 1997, Nevada, Idaho, California",125000
"Feb 19, 1980, South California",106000
"Aug 11 - Aug 13, 2014, Midwest, Northeast, Mid-Atlantic",102000
"May 8, 1995, South Dakota",75000
"Jun 25 - Jul 1, 2006, Maryland, Pennsylvania",65000
"Apr 17 - May 7, 1997, Grand Forks, Fargo",50400
"Jun 24 - Aug 23, 1993, Oklahoma, Minnesota, Wisconsin",31000
"Dec 29, 2008 - Jan 16, 2009, Orting, Chehalus",30000
