Characteristic,Gross domestic product in billion U.S. dollars
2026*,398.63
2025*,379.17
2024*,361.68
2023*,344.81
2022*,327.9
2021*,307.94
2020,252.76
2019,279.27
2018,297.44
2017,276.9
2016,250.33
2015,243.91
2014,260.48
2013,278.35
2012,267.03
2011,252.1
2010,218.32
2009,172.53
2008,179.48
2007,173.57
2006,154.86
2005,123.0
2004,99.23
2003,75.64
2002,69.73
2001,70.97
2000,77.82
1999,75.1
1998,81.56
1997,84.91
1996,78.02
1995,73.6
1994,57.11
1993,49.51
1992,46.27
1991,37.98
1990,33.0
1989,29.68
1988,25.77
1987,21.86
1986,18.53
