Characteristic,Units sold
Jan '21,553
Dec '20,1079
Nov '20,922
Oct '20,1293
Sep '20,2787
Aug '20,1297
Jul '20,2258
Jun '20,2232
May '20,716
Apr '20,126
Mar '20,2723
Feb '20,626
Jan '20,1004
Dec '19,785
Nov '19,906
Oct '19,996
Sep '19,2410
Aug '19,987
Jul '19,1525
Jun '19,2018
May '19,1982
Apr '19,1890
Mar '19,3882
Feb '19,573
Jan '19,950
Dec '18,855
Nov '18,844
Oct '18,1262
Sep '18,2228
Aug '18,960
Jul '18,1378
Jun '18,2301
May '18,1989
Apr '18,1410
Mar '18,3267
Feb '18,561
Jan '18,801
