Characteristic,Retail sales in million Canadian dollars
Mar '21,58.88
Feb '21,53.37
Jan '21,58.34
Dec '20,63.83
Nov '20,54.02
Oct '20,56.64
Sep '20,53.66
Aug '20,52.59
Jul '20,51.79
Jun '20,46.71
May '20,46.34
Apr '20,42.31
Mar '20,40.31
Feb '20,33.41
Jan '20,33.32
Dec '19,32.33
Nov '19,29.84
Oct '19,28.32
Sep '19,25.78
Aug '19,24.86
Jul '19,21.34
Jun '19,18.42
May '19,17.47
Apr '19,15.88
Mar '19,14.48
Feb '19,12.34
Jan' 19,14.04
Dec '18,14.23
Nov '18,11.21
Oct '18,5.7
