Characteristic,Number of total firearms manufactured
2018,9052628
2017,8327792
2016,11497441
2015,9358661
2014,9050626
2013,10844792
2012,8578610
2011,6541886
2010,5459240
2009,5555818
2008,4498944
2007,3922613
2006,3653324
2005,3241494
2004,3099025
2003,3308404
2002,3366895
2001,2932655
2000,3793541
1999,4047747
1998,3713590
1997,3593504
1996,3854439
1995,4316342
1994,5173217
1993,5055637
1992,4175836
1991,3563106
1990,3959968
1989,4418393
1988,3963877
1987,3559663
1986,3040934
