Characteristic,Storm damage in 2017 billion U.S. dollars
Katrina (2005),170.0
Harvey (2017),131.3
Maria (2017),94.5
Sandy (2012),74.1
Irma (2017),52.5
Andrew (1992),50.5
Ike (2008),36.9
Ivan (2004),28.7
Wilma (2005),25.8
Michael (2018),25.5
Rita (2005),25.2
Florence (2018),24.5
Charley (2004),22.4
Hugo (1989),19.3
Irene (2011),15.8
Frances (2004),13.7
Agnes (1972),13.0
Allison (2001),12.6
Betsy (1965),11.6
Matthew (2016),10.9
Jeanne (2004),10.5
Floyd (1999),10.2
Camille (1969),10.0
Georges (1998),9.6
Fran (1996),8.4
Diane (1955),8.1
Opal (1995),8.1
Alicia (1983),7.9
Isabel (2003),7.8
Gustav (2008),7.4
Celia (1970),6.2
Frederick (1979),6.1
Iniki (1992),5.8
Long Island Express (1938),5.6
Imelda (2019),5.1
Great Atlantic Hurricane (1944),5.1
Carol (1954),4.4
Juan (1985),3.7
Marilyn (1995),3.6
Donna (1960),3.4
Dennis (2005),3.4
Elena (1985),3.2
Isaac (2012),3.2
