Characteristic,Radio programs,TV programs
Jan 16*,65,250
Dec 15*,56,253
Nov 15*,59,252
Oct 15*,58,255
Sept 15*,58,276
Aug 15*,53,226
Jul 15*,55,203
Jun 15*,51,200
May 15*,54,226
Apr 15*,53,222
Mar 15*,57,225
Feb 15*,57,259
Jan 15,79,273
Dec 14,78,259
Nov 14,80,257
Oct 14,80,240
Sep 14,75,186
Aug 14,64,182
Jul 14,66,171
Jun 14,70,194
May 14,71,205
Apr 14,64,205
Mar 14,72,250
Feb 14,67,235
Jan 14,74,242
Dec 13,69,202
Nov 13,68,198
Oct 13,63,200
Sep 13,69,176
Aug 13,74,159
Jul 13,77,164
