Characteristic,Percentage change in visits to groceries stores
03/03/2020,-11%
03/01/1020,-5%
02/29/2020,12%
02/28/2020,8%
02/27/2020,-9%
02/26/2020,-16%
02/25/2020,-3%
02/24/2020,3%
02/23/2020,34%
02/22/2020,32%
02/21/2020,-1%
02/20/2020,-13%
02/19/2020,-11%
02/18/2020,-19%
02/17/2020,-13%
02/16/2020,2%
02/15/2020,0%
02/14/2020,5%
02/13/2020,-19%
02/12/2020,-6%
02/11/2020,-10%
02/10/2020,-2%
02/09/2020,-19%
02/08/2020,17%
02/07/2020,13%
02/06/2020,-3%
02/05/2020,-7%
02/04/2020,-12%
02/03/2020,10%
02/02/2020,-21%
02/01/2020,22%
