Characteristic,GDP in billion U.S. dollars
2026*,4534.34
2025*,4199.01
2024*,3884.73
2023*,3591.03
2022*,3312.95
2021,3049.7
2020,2708.77
2019,2870.5
2018,2701.11
2017,2651.47
2016,2294.12
2015,2103.59
2014,2039.13
2013,1856.72
2012,1827.64
2011,1823.05
2010,1708.46
2009,1365.37
2008,1224.1
2007,1238.7
2006,949.12
2005,834.22
2004,721.59
2003,618.37
2002,523.77
2001,493.93
2000,476.64
1999,466.84
1998,428.77
1997,423.19
1996,399.79
1995,366.6
1994,333.01
1993,284.19
1992,293.26
1991,274.84
1990,326.61
1989,300.19
1988,299.65
1987,283.75
1986,252.75
