Characteristic,Prevalence
South Africa,5.7%
Western sub-Saharan Africa,5.6%
North Africa and Middle East,5.6%
East sub-Saharan Africa,4.6%
Central sub-Saharan Africa,4.6%
South-East Asia,4.5%
Oceania,4%
Andean Latin America,3.9%
East Asia,3.4%
Southern sub-Saharan Africa,3.3%
Central Latin America,2.7%
Caribbean,2.7%
Central Asia,2.6%
Eastern Europe,2.1%
Southern Latin America,2%
Tropical Latin America,2%
Central Europe,1.6%
Australasia,1.5%
North America,1.4%
Western Europe,1.2%
