Characteristic,Kit sponsorship revenue in million euros
VfL Wolfsburg (Volkswagen),70.0
FC Bayern Munich (Telekom),45.0
Borussia Dortmund (Evonik)*,35.0
RB Leipzig (Red Bull),35.0
FC Schalke 04 (Gazprom),20.0
VfB Stuttgart (Mercedes-Benz-Bank)**,10.0
Borussia Mönchengladbach (Postbank),9.0
SV Werder Bremen (Wiesenhof),8.0
1. FC Köln (Rewe),7.5
Eintracht Frankfurt (Indeed),7.0
Bayer 04 Leverkusen (Barmenia),6.0
TSG Hoffenheim (SAP),5.5
FC Augsburg (WWK)***,4.2
FSV Mainz 05 (Kömmerling),4.0
SC Freiburg (Schwarzwaldmilch),3.0
Union Berlin (Aroundtown),2.5
Arminia Bielefeld (Schüco),2.5
